Auction,Age,Make,Color,WheelType,Odo,Size,MMRAauction,MMRAretail,BadBuy
MANHEIM,4,CHRYSLER,GOLD,Covers,45224,CROSSOVER,0,0,YES
ADESA,6,PONTIAC,SILVER,Covers,79905,LARGE,3912,4725,YES
MANHEIM,6,SATURN,WHITE,Covers,81116,MEDIUM,2667,3380,NO
ADESA,3,CHEVROLET,WHITE,NULL,82651,COMPACT,5194,8614,YES
MANHEIM,6,CHRYSLER,BEIGE,Alloy,69050,MEDIUM,3265,6441,YES
OTHER,5,CHEVROLET,RED,Alloy,54718,'MEDIUM SUV',6921,7975,YES
MANHEIM,5,FORD,SILVER,Alloy,75757,COMPACT,3475,6958,YES
ADESA,4,FORD,BLUE,Covers,65726,VAN,3889,4700,NO
OTHER,5,CHEVROLET,GOLD,Covers,89365,VAN,6131,9793,YES
ADESA,3,CHEVROLET,WHITE,Covers,71794,VAN,6394,7406,NO
MANHEIM,3,CHRYSLER,SILVER,Covers,55011,MEDIUM,6497,9747,NO
ADESA,5,CHEVROLET,GREEN,NULL,83482,'LARGE SUV',10093,11400,YES
MANHEIM,5,CHEVROLET,WHITE,Alloy,87726,'MEDIUM SUV',7111,8180,YES
OTHER,3,CHEVROLET,WHITE,NULL,67229,COMPACT,5785,9834,YES
MANHEIM,3,DODGE,GOLD,Covers,71079,MEDIUM,4297,5141,YES
MANHEIM,6,OLDSMOBILE,SILVER,Alloy,71235,MEDIUM,3325,4091,YES
MANHEIM,8,PONTIAC,SILVER,Alloy,90325,MEDIUM,2150,4937,YES
MANHEIM,2,CHEVROLET,RED,Covers,67108,MEDIUM,7032,11649,YES
MANHEIM,6,PONTIAC,GREEN,Alloy,96893,MEDIUM,4059,4884,YES
ADESA,5,CHRYSLER,RED,Alloy,65486,MEDIUM,4697,8354,YES
OTHER,2,DODGE,BLUE,Covers,45151,MEDIUM,7982,9121,YES
MANHEIM,6,MAZDA,GOLD,Alloy,85211,COMPACT,2437,3132,NO
OTHER,2,DODGE,'NOT AVAIL',NULL,50104,MEDIUM,7533,10574,YES
MANHEIM,4,JEEP,BLUE,Alloy,83599,'SMALL SUV',8193,9348,YES
OTHER,2,DODGE,BEIGE,Alloy,52123,MEDIUM,7314,10875,NO
OTHER,2,CHRYSLER,BLUE,Covers,64332,MEDIUM,6834,10367,NO
MANHEIM,3,KIA,BLUE,NULL,53125,MEDIUM,4735,5614,YES
ADESA,5,CHEVROLET,BLUE,NULL,80383,LARGE,3643,4434,YES
MANHEIM,5,DODGE,SILVER,Alloy,51523,VAN,4318,8283,NO
MANHEIM,3,CHRYSLER,GREY,Alloy,66440,SPECIALTY,9459,10716,YES
